X,Y,osm_id,osm_type,completeness,amenity,healthcare,name,operator,source,speciality,operator_type,operational_status,opening_hours,beds,staff_doctors,staff_nurses,health_amenity_type,dispensing,wheelchair,emergency,insurance,water_source,electricity,is_in_health_area,is_in_health_zone,url,addr_housenumber,addr_street,addr_postcode,addr_city,changeset_id,changeset_version,changeset_timestamp,uuid
-23.714729510676,64.8930539954062,"440107016",node,12.5,clinic,clinic,Heilsugæslan í Ólafsvík,,,,,,,,,,,,,,,,,,,,,,,,98424817,4,2021/01/30 18:25:19+00,8ce5a51d8e0b45e4820aac2ffcc1e570
-21.8029814306425,64.1238668577404,"9239112290",node,18.75,pharmacy,pharmacy,Lyfjaval,Lyfjaval ehf.,,,,,,,,,,yes,,,,,,,,,,,,,146519532,2,2024/01/21 16:28:00+00,990c40a27f9d4a689b89c9ee7dd0e9d1
-21.8956031370904,64.1396384982088,"11866454465",node,12.5,,physiotherapist,Gáski sjúkraþjálfun,,,,,,,,,,,,,,,,,,,,,,,,150665170,1,2024/04/29 13:59:03+00,345ae00c7fdc4627951e4f40e0bad88a
-21.9465173315373,64.0789733843431,"1847659888",node,12.5,dentist,dentist,,Jenný Ágústsdóttir,,,,,,,,,,,,,,,,,,,,,,,81272601,3,2020/02/20 12:47:13+00,efccaa7eea9346f39558cc9243f63723
-14.4069599715108,65.260328875902,"817319678",node,31.25,pharmacy,pharmacy,Lyfja,,,,,,"Mo-Fr 10:00-18:00; Sa 10:00-16:00",,,,,Lyfja,,,,,,,,,"6",Kaupvangur,"700",Egilsstaðir,157590071,5,2024/10/07 16:27:43+00,3d137328737d4bf49ff88816866b3830
-18.9097892672235,66.1508251189032,"4405980517",node,15.625,pharmacy,pharmacy,Apótek,,survey,,,,,,,,,,,,,,,,,,,,,,88770995,3,2020/07/31 08:36:06+00,848ee17a3ace4d3d96c7d9a5e9757c26
-18.1090465272233,65.6790388861269,"4346251349",node,12.5,clinic,clinic,Reynir ráðgjafastofa,,,,,,,,,,,,,,,,,,,,,,,,73257033,2,2019/08/12 07:18:01+00,b7eeef42327c48fab81984f4e98a393d
-18.0900308387696,65.6903447324034,"1382973440",node,12.5,pharmacy,pharmacy,Apótekið,,,,,,,,,,,,,,,,,,,,,,,,73256837,3,2019/08/12 07:10:49+00,000065c06e5f44e581fc32fbe6ef9516
-22.0546838641538,64.3271320330117,"5617553410",node,28.125,pharmacy,pharmacy,Apótek Vesturlands,,,,,,"Mo-Fr 09:00-18:00; Sa 10:00-14:00; Su 12:00-14:00",,,,,yes,,,,,,,,,,Smiðjuvellir,"300",Akranes,152056784,2,2024/05/30 22:44:36+00,0fea8189438342c2a9fde25ce9ed7f5e
,,"750714752",way,12.5,hospital,,Öldrunardeild Vífilsstöðum,,,,,,,,,,,,,no,,,,,,,,,,,77722435,1,2019/11/29 10:55:28+00,4179534ce02242ba8ff5aad75541f144
-21.8764133565079,64.1291229815825,"4888366719",node,25,pharmacy,pharmacy,Lyfis,,Kaart Ground Survey 2017,,,,,,,,,,,,,,,,,,,Grensásvegur,"108",Reykjavík,88772990,4,2020/07/31 09:12:05+00,7d5b03eebed64b9db1043b2389e47607
-21.3858430272626,63.8568286427257,"2493259839",node,12.5,clinic,clinic,Heilsugæslan Þorlákshöfn,,,,,,,,,,,,,,,,,,,,,,,,67591795,2,2019/02/26 18:19:05+00,88f6650cd5384067850934723fda5eb4
-18.9092952378504,66.1556466410657,"3075924550",node,12.5,hospital,,Heilbrigðisstofnunin Fjallabyggð,,,,,,,,,,,,,yes,,,,,,,,,,,157674475,2,2024/10/09 14:07:20+00,429c585211fa43059d9744f687c49e47
-21.8631056602964,64.1257967909461,"289717163",node,31.25,pharmacy,pharmacy,Garðs Apótek,,Kaart Ground Survey 2017,,,,,,,,,yes,,,,,,,,,"108",Sogavegur,"108",Reykjavík,108259581,7,2021/07/19 14:36:22+00,5d3e367b277249d685439aee910bcbdf
,,"203792527",way,25,clinic,clinic,Heilsugæslustöðin Grundarfirði,,,,,,"Mo-Fr 08:00-12:00, 13:00-16:00",,,,,,,,,,,,,,"7",Hrannarstígur,"350",,150271175,6,2024/04/20 16:25:58+00,b7698f832ca1413d92a16380a2bc9800
-21.7622828483264,65.1097238455087,"847673679",node,6.25,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,37413369,2,2016/02/24 14:22:13+00,45870f9cde234d458aa19f73072691ea
-21.9431237503994,64.0798148436027,"1849130195",node,12.5,dentist,dentist,,Hlynur Andrésson,,,,,,,,,,,,,,,,,,,,,,,81272499,3,2020/02/20 12:45:12+00,db26fe54203f4fafa38e1b5d4af6de25
-21.7925591207794,64.144543839403,"2125780844",node,18.75,pharmacy,pharmacy,Rimaapótek,,,,,,Mo-Fr 09:00-18:00,,,,,yes,,,,,,,,,,,,,88772876,3,2020/07/31 09:09:50+00,f91eca9bcd614104945797a36ee4d613
-21.8875393271423,64.1283999586147,"5991631718",node,25,doctors,doctor,Læknavaktin,,,,,,"Mo-Fr 17:00-23:30; Sa,Su 09:00-23:30",,,,,,,,,,,,,,"68",Háaleitisbraut,"103",,168065703,5,2025/06/24 20:02:21+00,7ea799e641094d8380bf7f5e2ecf9060
-21.9079490099128,64.1316364628871,"3416323805",node,12.5,doctors,optometrist,Augnlæknar Reykjavíkur,,,,,,,,,,,,,,,,,,,,,,,,29709441,1,2015/03/24 18:10:20+00,9c62475c297a49289a173a5db0344946
,,"591892690",way,12.5,,rehabilitation,Meðferðarheimilið Staðarfelli,SÁÁ,,,,,,,,,,,,,,,,,,,,,,,140069999,3,2023/08/18 18:45:13+00,62bb6c309cd6437eb143b46332631ad9
-20.9890738220608,63.9367236864902,"293040286",node,25,pharmacy,pharmacy,Lyfja,,Kaart Ground Survey 2017,,,,,,,,,yes,,,,,,,,,,Austurvegur,"800",,79066405,8,2019/12/31 18:48:55+00,acfa7733480242ed89c82146b846a996
