X,Y,osm_id,osm_type,completeness,amenity,healthcare,name,operator,source,speciality,operator_type,operational_status,opening_hours,beds,staff_doctors,staff_nurses,health_amenity_type,dispensing,wheelchair,emergency,insurance,water_source,electricity,is_in_health_area,is_in_health_zone,url,addr_housenumber,addr_street,addr_postcode,addr_city,changeset_id,changeset_version,changeset_timestamp,uuid
-76.7962808570726,18.0346352607969,"3787759262",node,12.5,doctors,,Doctor's Office,,KG Ground Survey 2015,,,,,,,,,,,,,,,,,,,,,,89377555,4,2020/08/13 22:33:32+00,3000464fb95e4d1d9dfe1a372a71542b
,,"475914049",way,12.5,pharmacy,pharmacy,Fontana Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,96273834,3,2020/12/22 17:33:24+00,5ada4a6fa9794f99a5b59cf4249f73f1
,,"461643085",way,28.125,hospital,hospital,University Hospital Of The West Indies,,,,,,24/7,,,,,,yes,yes,,,,,,,,,KGN7,Mona,142851628,9,2023/10/20 06:19:45+00,a8843dcf54684c24a9f12047d30b0459
-76.8119584525874,18.0343835522446,"6394147785",node,18.75,dentist,,Dr. J.O. Lasisi,,,,,,Mo-Su 09:00-18:00,,,,,,,,,,,,,,shop#2,Red Hills Road,,,69051549,1,2019/04/09 15:49:13+00,1970f759671e48f6bfa3994c52667423
,,"375239621",way,18.75,clinic,,The People's Medical Clinic,,KG Ground Survey 2015,,,,,,,,,,,,,,,,,,,Young Street,,Spanish Town,37034644,3,2016/02/06 04:12:26+00,202c0f865ab642208e0ee0011e6566b5
,,"375125545",way,12.5,clinic,,Windward Medical Centre,,KG Ground Survey 2015,,,,,,,,,,,,,,,,,,,,,,37034644,3,2016/02/06 04:14:00+00,367824f46afb49d18045ae465f7fb061
-77.763124168044,18.1619391871011,"6564850257",node,9.375,clinic,,Holy Spirit Clinic,,,,,,,,,,,,,,,,,,,,,,,,71514520,1,2019/06/22 17:15:39+00,b9d177cb7b364a0f8665305bc8a190bf
-76.8115366752197,18.0207383167923,"3786799383",node,15.625,pharmacy,,New World Pharmacy,,KG Ground Survey 2015,,,,,,,,,,,,,,,,,,,Molynes Road,,,48732012,4,2017/05/16 13:34:34+00,01d80c7274b44561be736b967e0f9412
,,"374461381",way,18.75,clinic,clinic,Portmore Healthcare,,KG Ground Survey 2015,,,,,,,,,,,,,,,,,,,,,Portmore,130047189,2,2022/12/13 19:02:11+00,1b66276fb7c4408daf3888d9ba4d9d20
-76.7774399313002,18.0298334361068,"3788234394",node,12.5,pharmacy,,Monarch Pharmacy,,KG Ground Survey 2015,,,,,,,,,,,,,,,,,,,,,,37034644,3,2016/02/06 04:22:02+00,72d9a6acce624458801853c014b2d5e9
,,"1122405558",way,6.25,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,131671555,2,2023/01/24 22:34:24+00,f5bf61e7c8874e2bac2c0f0e5d0dd619
,,"374359534",way,12.5,dentist,dentist,,,KG Ground Survey 2015,,,,,,,,,,,,,,,,,,,,,,146334930,4,2024/01/16 18:48:03+00,7419d6aec5224f9bace0cce1d7af7170
-76.8228138553874,18.0280312431055,"442000523",node,12.5,pharmacy,pharmacy,Hughenden Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,95109059,3,2020/12/01 17:47:06+00,5422f656dd9c40e0968cca4918b11ef7
-77.0012849419763,18.1132292655508,"4201512589",node,15.625,clinic,,Ewarton health center,,,,,,Mo-Fr 08:00-16:00,,,,,,,,,,,,,,,Mount  rosser,,,44232825,3,2016/12/07 18:56:32+00,8b4572da424b4dd0bf172f093e175051
-76.7943539413521,18.0335329567105,"3664711470",node,9.375,doctors,,Doctor,,,,,,,,,,,,,,,,,,,,,,,,46229793,2,2017/02/20 00:16:38+00,95183540fbdd47cbbdd9965b3dd42c04
,,"371816206",way,12.5,pharmacy,,J&J Pharmacy,,KG Ground Survey 2015,,,,,,,,,,,,,,,,,,,,,,92674714,4,2020/10/19 03:02:37+00,284b5d240bae42a4bc7edf18ac28fa4c
,,"373914152",way,12.5,clinic,clinic,Maxfield Health Centre,,,,,,,,,,,,,,,,,,,,,,,,122518209,4,2022/06/17 17:29:44+00,363646b8adc347d78d486e178506bab3
,,"905891267",way,12.5,clinic,,Far East Medical Centre,,KG Ground Survey 2015,,,,,,,,,,,,,,,,,,,,,,99057262,1,2021/02/10 17:38:35+00,e9745f5b3cb4404f9bfe3ab46d396cdf
